app,route,menu_link_url,actions,source_file
dashboard,/workEmployee/index,/workEmployee/index,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workFission/create,/workFission/create,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workFission/dataShow,/workFission/dataShow,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workFission/edit,/workFission/edit,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workFission/invite,/workFission/invite,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workFission/taskpage,/workFission/taskpage,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workRoom/detail,/workRoom/detail,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workRoom/index,/workRoom/index,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workRoom/statistics,/workRoom/statistics,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workRoomAutoPull/index,/workRoomAutoPull/index,-,web/legacy/dashboard/src/router/asyncRouter.js
dashboard,/workRoomAutoPull/store,/workRoomAutoPull/store,-,web/legacy/dashboard/src/router/asyncRouter.js
operation,/,/,-,web/legacy/operation/src/router/index.js
operation,/explain,/explain,-,web/legacy/operation/src/router/index.js
operation,/fissionSpeed,/fissionSpeed,-,web/legacy/operation/src/router/index.js
operation,/lottery,/lottery,-,web/legacy/operation/src/router/index.js
operation,/roomClockIn,/roomClockIn,-,web/legacy/operation/src/router/index.js
operation,/roomFission,/roomFission,-,web/legacy/operation/src/router/index.js
operation,/roomInfinitePull,/roomInfinitePull,-,web/legacy/operation/src/router/index.js
operation,/shopCode,/shopCode,-,web/legacy/operation/src/router/index.js
operation,/speed,/speed,-,web/legacy/operation/src/router/index.js
operation,/workFission,/workFission,-,web/legacy/operation/src/router/index.js
sidebar,/:pathMatch(.*),/:pathMatch(.*),-,web/legacy/sidebar/src/router/routes.js
sidebar,/,/,-,web/legacy/sidebar/src/router/index.js
sidebar,/404,/404,-,web/legacy/sidebar/src/router/routes.js
sidebar,/auth,/auth,-,web/legacy/sidebar/src/router/routes.js
sidebar,/codeAuth,/codeAuth,-,web/legacy/sidebar/src/router/routes.js
sidebar,/contact,/contact,-,web/legacy/sidebar/src/router/routes.js
sidebar,/contact/editDetail,/contact/editDetail,-,web/legacy/sidebar/src/router/routes.js
sidebar,/contact/remark,/contact/remark,-,web/legacy/sidebar/src/router/routes.js
sidebar,/contact/settingTag,/contact/settingTag,-,web/legacy/sidebar/src/router/routes.js
sidebar,/contactBatchAdd,/contactBatchAdd,-,web/legacy/sidebar/src/router/routes.js
sidebar,/contactSop,/contactSop,-,web/legacy/sidebar/src/router/routes.js
sidebar,/login,/login,-,web/legacy/sidebar/src/router/index.js
sidebar,/medium,/medium,-,web/legacy/sidebar/src/router/routes.js
sidebar,/roomSop,/roomSop,-,web/legacy/sidebar/src/router/routes.js
