app,method,path,legacy_declarations,go_route_evidence,php_handler,client_consumers,response_evidence,scope_evidence
dashboard,DELETE,/roomTagPull/destroy,web/legacy/dashboard/src/api/workRoom.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/Destroy.php#L53,web/legacy/dashboard/src/views/roomTagPull/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/Destroy.php#L53,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-tag-pull/src/Action/Dashboard/Destroy.php#L53
dashboard,DELETE,/roomWelcome/destroy,web/legacy/dashboard/src/api/roomWelcome.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-welcome/src/Action/Dashboard/Destroy.php#L56,web/legacy/dashboard/src/views/roomWelcome/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-welcome/src/Action/Dashboard/Destroy.php#L56,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/room-welcome/src/Action/Dashboard/Destroy.php#L56
dashboard,DELETE,/sensitiveWord/destroy,web/legacy/dashboard/src/api/sensitiveWords.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,DELETE,/shopCode/destroy,web/legacy/dashboard/src/api/shopCode.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,DELETE,/workContactTag/destroy,web/legacy/dashboard/src/api/workContactTag.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Tag/Destroy.php#L53,web/legacy/dashboard/src/views/workContactTag/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Tag/Destroy.php#L53,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Tag/Destroy.php#L53
dashboard,DELETE,/workContactTagGroup/destroy,web/legacy/dashboard/src/api/workContactTag.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/TagGroup/Destroy.php#L66,web/legacy/dashboard/src/views/workContactTag/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/TagGroup/Destroy.php#L66,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/TagGroup/Destroy.php#L66
dashboard,DELETE,/workFission/destroy,web/legacy/dashboard/src/api/workFission.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/work-fission/src/Action/Dashboard/Destroy.php#L57,web/legacy/dashboard/src/views/workFission/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/work-fission/src/Action/Dashboard/Destroy.php#L57,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/work-fission/src/Action/Dashboard/Destroy.php#L57
dashboard,DELETE,/workRoomGroup/destroy,web/legacy/dashboard/src/api/workRoom.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-room/src/Action/Dashboard/Group/Destroy.php#L60,web/legacy/dashboard/src/views/workRoom/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-room/src/Action/Dashboard/Group/Destroy.php#L60,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-room/src/Action/Dashboard/Group/Destroy.php#L60
dashboard,DELETE,menu/destroy,web/legacy/dashboard/src/api/menu.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Menu/Destroy.php#L46,web/legacy/dashboard/src/views/menu/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Menu/Destroy.php#L46,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Menu/Destroy.php#L46
dashboard,GET,/autoTag/index,web/legacy/dashboard/src/api/autoTag.js,internal/server/server.go,-,web/legacy/dashboard/src/views/autoTag/dayPartIndex.vue;web/legacy/dashboard/src/views/autoTag/joinRoomIndex.vue;web/legacy/dashboard/src/views/autoTag/keywordIndex.vue,client:web/legacy/dashboard/src/views/autoTag/dayPartIndex.vue;client:web/legacy/dashboard/src/views/autoTag/joinRoomIndex.vue;client:web/legacy/dashboard/src/views/autoTag/keywordIndex.vue,internal/server/server.go
dashboard,GET,/autoTag/show,web/legacy/dashboard/src/api/autoTag.js,internal/server/server.go,-,web/legacy/dashboard/src/views/autoTag/dayPartShow.vue;web/legacy/dashboard/src/views/autoTag/joinRoomShow.vue;web/legacy/dashboard/src/views/autoTag/keywordShow.vue,client:web/legacy/dashboard/src/views/autoTag/dayPartShow.vue;client:web/legacy/dashboard/src/views/autoTag/joinRoomShow.vue;client:web/legacy/dashboard/src/views/autoTag/keywordShow.vue,internal/server/server.go
dashboard,GET,/autoTag/showContactKeyWord,web/legacy/dashboard/src/api/autoTag.js,internal/server/server.go,-,web/legacy/dashboard/src/views/autoTag/keywordShow.vue,client:web/legacy/dashboard/src/views/autoTag/keywordShow.vue,internal/server/server.go
