app,source_file,route,status,risk,batch,blocking_fields
dashboard,web/legacy/dashboard/src/router/base/error.js,*,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/router/router.config.js,/,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartCreate.vue,/autoTag/dayPartCreate,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartIndex.vue,/autoTag/dayPartIndex,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/dayPartShow.vue,/autoTag/dayPartShow,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomCreate.vue,/autoTag/joinRoomCreate,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomIndex.vue,/autoTag/joinRoomIndex,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/joinRoomShow.vue,/autoTag/joinRoomShow,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/keywordCreate.vue,/autoTag/keywordCreate,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/keywordIndex.vue,/autoTag/keywordIndex,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/autoTag/keywordShow.vue,/autoTag/keywordShow,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/channelCode/components/upload.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/channelCode/components/vpload.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/channelCode/index.vue,/channelCode/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/channelCode/statistics.vue,/channelCode/statistics,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/channelCode/store.vue,/channelCode/store,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/chatTool/components/settingSteps.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/chatTool/customer.vue,/chatTool/customer,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/chatTool/enhance.vue,/chatTool/enhance,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactField/index.vue,/contactField/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/index.vue,/contactMessageBatchSend/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/show.vue,/contactMessageBatchSend/show,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactMessageBatchSend/store.vue,/contactMessageBatchSend/store,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactSop/components/create/addRule.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactTransfer/resignAllotRecord.vue,/contactTransfer/resignAllotRecord,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactTransfer/resignIndex.vue,/contactTransfer/resignIndex,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactTransfer/workAllotRecord.vue,/contactTransfer/workAllotRecord,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/contactTransfer/workIndex.vue,/contactTransfer/workIndex,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/corpData/index.vue,/corpData/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/department/index.vue,/department/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/error/404.vue,/404,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/greeting/components/department.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/greeting/components/upload.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/greeting/components/vpload.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/greeting/index.vue,/greeting/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/greeting/store.vue,/greeting/store,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/login/login.vue,/login,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/lossContact/index.vue,/lossContact/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/mediumGroup/components/upload.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/mediumGroup/components/vpload.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/mediumGroup/index.vue,/mediumGroup/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/menu/index.vue,/menu/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/officialAccount/create.vue,/officialAccount/create,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/officialAccount/index.vue,/officialAccount/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/passwordUpdate/index.vue,/passwordUpdate/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/radar/components/addSourceTitle.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/radar/components/clickDetails.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/radar/components/share.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/role/index.vue,/role/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/role/permissionShow.vue,/role/permissionShow,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomCalendar/components/group.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomCalendar/components/setCalnder.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/selectGroup.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/selectMember.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/step/step1.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/step/step2.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/step/step3.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomFission/components/create/step/step4.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomFission/components/list/details.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomInfinitePull/components/details.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomMessageBatchSend/index.vue,/roomMessageBatchSend/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomMessageBatchSend/show.vue,/roomMessageBatchSend/show,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomMessageBatchSend/store.vue,/roomMessageBatchSend/store,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomSop/components/create/addRule.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomSop/components/create/linkInput.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomTagPull/contactDetail.vue,/roomTagPull/contactDetail,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomTagPull/create.vue,/roomTagPull/create,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomTagPull/detail.vue,/roomTagPull/detail,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomTagPull/index.vue,/roomTagPull/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomWelcome/components/AddApplets.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomWelcome/components/Details.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomWelcome/create.vue,/roomWelcome/create,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/roomWelcome/index.vue,/roomWelcome/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/sensitiveWordsMonitor/components/department.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/statistics/contact.vue,/statistics/contact,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/statistics/employee.vue,/statistics/employee,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/user/index.vue,/user/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workContact/components/department.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workContact/contactFieldPivot.vue,/workContact/contactFieldPivot,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workContact/index.vue,/workContact/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workContactTag/index.vue,/workContactTag/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workEmployee/index.vue,/workEmployee/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/create/step/step1.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/create/step/step2.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/create/step/step3.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/create/step/step4.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/details.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/inviteDetails.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/update/step/step1.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/update/step/step2.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/components/update/step/step3.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/create.vue,/workFission/create,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/dataShow.vue,/workFission/dataShow,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/edit.vue,/workFission/edit,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/index.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/invite.vue,/workFission/invite,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workFission/taskpage.vue,/workFission/taskpage,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workRoom/detail.vue,/workRoom/detail,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workRoom/index.vue,/workRoom/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workRoom/statistics.vue,/workRoom/statistics,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workRoomAutoPull/components/upload.vue,-,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workRoomAutoPull/index.vue,/workRoomAutoPull/index,legacy,unassigned,unassigned,risk;batch
dashboard,web/legacy/dashboard/src/views/workRoomAutoPull/store.vue,/workRoomAutoPull/store,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/index/index.vue,/,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/lottery/explain.vue,/explain,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/lottery/index.vue,/lottery,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/lottery/prize.vue,-,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/roomClockIn/explain.vue,-,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/roomClockIn/index.vue,/roomClockIn,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/roomClockIn/success.vue,-,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/roomFission/fissionIndex.vue,/roomFission,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/roomFission/fissionSpeed.vue,/fissionSpeed,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/roomInfinitePull/roomInfinitePull.vue,/roomInfinitePull,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/shopCode/shopCodeIndex.vue,/shopCode,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/workFission/index.vue,/workFission,legacy,unassigned,unassigned,risk;batch
operation,web/legacy/operation/src/views/workFission/speed.vue,/speed,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/router/routes.js,/:pathMatch(.*),legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/auth/index.vue,/auth,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/codeAuth/index.vue,/codeAuth,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/contact/editDetail.vue,/contact/editDetail,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/contact/index.vue,/contact,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/contact/remark.vue,/contact/remark,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/contact/settingTag.vue,/contact/settingTag,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/contactBatchAdd/index.vue,/contactBatchAdd,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/contactSop/contactSop.vue,/contactSop,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/contactSop/contactSopIndex.vue,-,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/error/404.vue,/404,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/index/index.vue,/,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/login/index.vue,/login,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/medium/index.vue,/medium,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/roomSop/pushRule.vue,-,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/roomSop/roomQuality.vue,-,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/roomSop/roomSop.vue,/roomSop,legacy,unassigned,unassigned,risk;batch
sidebar,web/legacy/sidebar/src/views/roomSop/setCalendar.vue,-,legacy,unassigned,unassigned,risk;batch
