app,source_file,kind,license_status,used_by
dashboard,web/legacy/dashboard/src/assets/systemHomePage/optBtn-one.png,png,blocked,web/legacy/dashboard/src/views/corpData/index.vue
dashboard,web/legacy/dashboard/src/assets/systemHomePage/optBtn-three.png,png,blocked,web/legacy/dashboard/src/views/corpData/index.vue
dashboard,web/legacy/dashboard/src/assets/systemHomePage/optBtn-two.png,png,blocked,web/legacy/dashboard/src/views/corpData/index.vue
dashboard,web/legacy/dashboard/src/assets/systemHomePage/search-icon.png,png,blocked,web/legacy/dashboard/src/views/corpData/index.vue
dashboard,web/legacy/dashboard/src/assets/systemHomePage/searchTwo-icon.png,png,blocked,web/legacy/dashboard/src/views/corpData/index.vue
dashboard,web/legacy/dashboard/src/assets/systemHomePage/WechatGroup-icon.png,png,blocked,web/legacy/dashboard/src/views/corpData/index.vue
dashboard,web/legacy/dashboard/src/assets/title.png,png,blocked,web/legacy/dashboard/src/components/Logo/index.vue;web/legacy/dashboard/src/views/login/login.vue
dashboard,web/legacy/dashboard/src/assets/user.png,png,blocked,web/legacy/dashboard/src/views/login/login.vue
dashboard,web/legacy/dashboard/src/assets/wework-qrcode.png,png,blocked,unreferenced-in-legacy-source
dashboard,web/legacy/dashboard/src/assets/wx-mp.png,png,blocked,web/legacy/dashboard/src/views/officialAccount/create.vue
dashboard,web/legacy/dashboard/src/assets/xls.png,png,blocked,unreferenced-in-legacy-source
operation,web/legacy/operation/src/assets/mixin.scss,scss,blocked,unreferenced-in-legacy-source
operation,web/legacy/operation/src/static/images/001.png,png,blocked,web/legacy/operation/src/views/lottery/index.vue
operation,web/legacy/operation/src/static/images/002.png,png,blocked,unreferenced-in-legacy-source
operation,web/legacy/operation/src/static/images/bg.png,png,blocked,web/legacy/operation/src/views/lottery/index.vue;web/legacy/operation/src/views/roomClockIn/index.vue;web/legacy/operation/src/views/roomFission/fissionIndex.vue;web/legacy/operation/src/views/roomFission/fissionSpeed.vue;web/legacy/operation/src/views/workFission/index.vue;web/legacy/operation/src/views/workFission/speed.vue
operation,web/legacy/operation/src/static/images/download.jpg,jpg,blocked,unreferenced-in-legacy-source
operation,web/legacy/operation/src/static/images/error.png,png,blocked,web/legacy/operation/src/views/workFission/speed.vue
operation,web/legacy/operation/src/static/images/gift-image.png,png,blocked,web/legacy/operation/src/views/workFission/speed.vue
operation,web/legacy/operation/src/static/images/gift.png,png,blocked,web/legacy/operation/src/views/workFission/speed.vue
operation,web/legacy/operation/src/static/images/logo.jpg,jpg,blocked,unreferenced-in-legacy-source
operation,web/legacy/operation/src/static/images/lottery.jpg,jpg,blocked,unreferenced-in-legacy-source
operation,web/legacy/operation/src/static/images/pdf.png,png,blocked,web/legacy/sidebar/src/views/medium/index.vue
sidebar,web/legacy/sidebar/src/assets/check.png,png,blocked,web/legacy/sidebar/src/views/medium/index.vue
sidebar,web/legacy/sidebar/src/assets/excel.png,png,blocked,web/legacy/sidebar/src/views/medium/index.vue
sidebar,web/legacy/sidebar/src/assets/file.png,png,blocked,web/legacy/sidebar/src/views/medium/index.vue
sidebar,web/legacy/sidebar/src/assets/pdf.png,png,blocked,web/legacy/sidebar/src/views/medium/index.vue
sidebar,web/legacy/sidebar/src/assets/word.png,png,blocked,web/legacy/dashboard/src/views/officialAccount/create.vue;web/legacy/sidebar/src/views/medium/index.vue
sidebar,web/legacy/sidebar/src/assets/zip.png,png,blocked,web/legacy/sidebar/src/views/medium/index.vue
