app,route,menu_link_url,actions,source_file
dashboard,/workContactTag/index,/workContactTag/index,add;addGroup;delete;deleteTag;edit;editGroup;move;sync,web/legacy/dashboard/src/views/workContactTag/index.vue
dashboard,/workEmployee/index,/workEmployee/index,search;sync,web/legacy/dashboard/src/views/workEmployee/index.vue
dashboard,/workFission/create,/workFission/create,implicit-route-access,web/legacy/dashboard/src/views/workFission/create.vue
dashboard,/workFission/dataShow,/workFission/dataShow,implicit-route-access,web/legacy/dashboard/src/views/workFission/dataShow.vue
dashboard,/workFission/edit,/workFission/edit,implicit-route-access,web/legacy/dashboard/src/views/workFission/edit.vue
dashboard,/workFission/invite,/workFission/invite,implicit-route-access,web/legacy/dashboard/src/views/workFission/invite.vue
dashboard,/workFission/taskpage,/workFission/taskpage,implicit-route-access,web/legacy/dashboard/src/views/workFission/taskpage.vue
dashboard,/workRoom/detail,/workRoom/detail,implicit-route-access,web/legacy/dashboard/src/views/workRoom/detail.vue
dashboard,/workRoom/index,/workRoom/index,add;batch;edit;member;move;search;sync,web/legacy/dashboard/src/views/workRoom/index.vue
dashboard,/workRoom/statistics,/workRoom/statistics,implicit-route-access,web/legacy/dashboard/src/views/workRoom/statistics.vue
dashboard,/workRoomAutoPull/index,/workRoomAutoPull/index,detail;download;edit;search,web/legacy/dashboard/src/views/workRoomAutoPull/index.vue
dashboard,/workRoomAutoPull/store,/workRoomAutoPull/store,submit,web/legacy/dashboard/src/views/workRoomAutoPull/store.vue
operation,/,/,implicit-route-access,web/legacy/operation/src/views/index/index.vue
operation,/explain,/explain,implicit-route-access,web/legacy/operation/src/views/lottery/explain.vue
operation,/fissionSpeed,/fissionSpeed,implicit-route-access,web/legacy/operation/src/views/roomFission/fissionSpeed.vue
operation,/lottery,/lottery,implicit-route-access,web/legacy/operation/src/views/lottery/index.vue
operation,/roomClockIn,/roomClockIn,implicit-route-access,web/legacy/operation/src/views/roomClockIn/index.vue
operation,/roomFission,/roomFission,implicit-route-access,web/legacy/operation/src/views/roomFission/fissionIndex.vue
operation,/roomInfinitePull,/roomInfinitePull,implicit-route-access,web/legacy/operation/src/views/roomInfinitePull/roomInfinitePull.vue
operation,/shopCode,/shopCode,implicit-route-access,web/legacy/operation/src/views/shopCode/shopCodeIndex.vue
operation,/speed,/speed,implicit-route-access,web/legacy/operation/src/views/workFission/speed.vue
operation,/workFission,/workFission,implicit-route-access,web/legacy/operation/src/views/workFission/index.vue
sidebar,/:pathMatch(.*),/:pathMatch(.*),implicit-route-access,web/legacy/sidebar/src/router/routes.js
sidebar,/,/,implicit-route-access,web/legacy/sidebar/src/views/index/index.vue
sidebar,/404,/404,implicit-route-access,web/legacy/sidebar/src/views/error/404.vue
sidebar,/auth,/auth,implicit-route-access,web/legacy/sidebar/src/views/auth/index.vue
sidebar,/codeAuth,/codeAuth,implicit-route-access,web/legacy/sidebar/src/views/codeAuth/index.vue
sidebar,/contact,/contact,implicit-route-access,web/legacy/sidebar/src/views/contact/index.vue
sidebar,/contact/editDetail,/contact/editDetail,implicit-route-access,web/legacy/sidebar/src/views/contact/editDetail.vue
sidebar,/contact/remark,/contact/remark,implicit-route-access,web/legacy/sidebar/src/views/contact/remark.vue
sidebar,/contact/settingTag,/contact/settingTag,implicit-route-access,web/legacy/sidebar/src/views/contact/settingTag.vue
sidebar,/contactBatchAdd,/contactBatchAdd,implicit-route-access,web/legacy/sidebar/src/views/contactBatchAdd/index.vue
sidebar,/contactSop,/contactSop,implicit-route-access,web/legacy/sidebar/src/views/contactSop/contactSop.vue
sidebar,/login,/login,implicit-route-access,web/legacy/sidebar/src/views/login/index.vue
sidebar,/medium,/medium,implicit-route-access,web/legacy/sidebar/src/views/medium/index.vue
sidebar,/roomSop,/roomSop,implicit-route-access,web/legacy/sidebar/src/views/roomSop/roomSop.vue
