app,method,path,source_file,request_fields,response_fields,auth,corp_scope,go_evidence
dashboard,DELETE,/sensitiveWord/destroy,web/legacy/dashboard/src/api/sensitiveWords.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/shopCode/destroy,web/legacy/dashboard/src/api/shopCode.js,data:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,DELETE,/workContactTag/destroy,web/legacy/dashboard/src/api/workContactTag.js,data:tagId,blocked[no-static-response-fields]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Tag/Destroy.php#L53,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Tag/Destroy.php#L53,internal/server/server.go
dashboard,DELETE,/workContactTagGroup/destroy,web/legacy/dashboard/src/api/workContactTag.js,data:groupId,blocked[no-static-response-fields]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/TagGroup/Destroy.php#L66,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/TagGroup/Destroy.php#L66,internal/server/server.go
dashboard,DELETE,/workFission/destroy,web/legacy/dashboard/src/api/workFission.js,data:id,fields:none,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/work-fission/src/Action/Dashboard/Destroy.php#L57,internal/server/server.go
dashboard,DELETE,/workRoomGroup/destroy,web/legacy/dashboard/src/api/workRoom.js,data:workRoomGroupId,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-room/src/Action/Dashboard/Group/Destroy.php#L60,internal/server/server.go
dashboard,DELETE,menu/destroy,web/legacy/dashboard/src/api/menu.js,data:menuId,fields:none,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Menu/Destroy.php#L46,internal/server/server.go
dashboard,GET,/autoTag/index,web/legacy/dashboard/src/api/autoTag.js,params:name;tags;type,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/autoTag/show,web/legacy/dashboard/src/api/autoTag.js,params:id,fields:auto_tag;statistics,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/autoTag/showContactKeyWord,web/legacy/dashboard/src/api/autoTag.js,params:contact_name;employee;end_time;id;page;perPage;start_time,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/autoTag/showContactRoom,web/legacy/dashboard/src/api/autoTag.js,params:contact_name;employee;end_time;id;join_scene;page;perPage;room_name;start_time,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/autoTag/showContactTime,web/legacy/dashboard/src/api/autoTag.js,params:contact_name;employee;end_time;id;page;perPage;start_time,fields:list,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/channelCode/contact,web/legacy/dashboard/src/api/channelCode.js,params:channelCodeId;page;perPage,fields:list;page,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Contact.php#L44,internal/server/server.go
dashboard,GET,/channelCode/index,web/legacy/dashboard/src/api/channelCode.js,params:groupId;name;page;perPage;type,fields:list;page,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Index.php#L42,internal/server/server.go
dashboard,GET,/channelCode/show,web/legacy/dashboard/src/api/channelCode.js,params:channelCodeId,fields:baseInfo;drainageEmployee;welcomeMessage,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Show.php#L45,internal/server/server.go
dashboard,GET,/channelCode/statistics,web/legacy/dashboard/src/api/channelCode.js,params:channelCodeId;endTime;startTime;type,fields:addNum;addNumLong;defriendNum;defriendNumLong;deleteNum;deleteNumLong;list;netNum;netNumLong,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Statistics.php#L45,internal/server/server.go
dashboard,GET,/channelCode/statisticsIndex,web/legacy/dashboard/src/api/channelCode.js,params:channelCodeId;endTime;page;perPage;startTime;type,fields:list;page,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/StatisticsIndex.php#L45,internal/server/server.go
dashboard,GET,/channelCodeGroup/index,web/legacy/dashboard/src/api/channelCode.js,params:none,blocked[indirect-response-shape]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Group/Index.php#L40,ACCESS_TOKEN,server-current-enterprise@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/channel-code/src/Action/Dashboard/Group/Index.php#L40,internal/server/server.go
dashboard,GET,/chatTool/config,web/legacy/dashboard/src/api/chatTool.js,params:none,fields:agents;whiteDomains,ACCESS_TOKEN,blocked[no-static-corp-scope]@git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/chat-tool/src/Action/Dashboard/Index.php#L89,internal/server/server.go
dashboard,GET,/clockIn/index,web/legacy/dashboard/src/api/liveCode.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/contactBatchAdd/dataStatistic,web/legacy/dashboard/src/api/contactBatchAdd.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/contactBatchAdd/importIndex,web/legacy/dashboard/src/api/contactBatchAdd.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
dashboard,GET,/contactBatchAdd/index,web/legacy/dashboard/src/api/contactBatchAdd.js,params:blocked[no-callsite],blocked[no-static-response-fields]@internal/server/server.go,ACCESS_TOKEN,blocked[no-static-corp-scope]@internal/server/server.go,internal/server/server.go
